[60]	validation_0-error:0.014359	validation_0-rmse:0.109631	validation_0-logloss:0.050613	validation_1-error:0.01505	validation_1-rmse:0.112177	validation_1-logloss:0.052949
[61]	validation_0-error:0.014348	validation_0-rmse:0.109621	validation_0-logloss:0.050582	validation_1-error:0.015058	validation_1-rmse:0.11217	validation_1-logloss:0.052935
[62]	validation_0-error:0.01434	validation_0-rmse:0.109608	validation_0-logloss:0.05057	validation_1-error:0.015069	validation_1-rmse:0.112167	validation_1-logloss:0.052937
[63]	validation_0-error:0.014337	validation_0-rmse:0.109593	validation_0-logloss:0.050574	validation_1-error:0.015048	validation_1-rmse:0.112165	validation_1-logloss:0.052963
[64]	validation_0-error:0.014332	validation_0-rmse:0.109518	validation_0-logloss:0.050393	validation_1-error:0.015026	validation_1-rmse:0.112113	validation_1-logloss:0.052821
[65]	validation_0-error:0.014324	validation_0-rmse:0.109471	validation_0-logloss:0.050348	validation_1-error:0.015016	validation_1-rmse:0.112079	validation_1-logloss:0.0528
[66]	validation_0-error:0.014318	validation_0-rmse:0.109448	validation_0-logloss:0.050342	validation_1-error:0.015018	validation_1-rmse:0.112066	validation_1-logloss:0.052813
[67]	validation_0-error:0.01431	validation_0-rmse:0.109438	validation_0-logloss:0.050303	validation_1-error:0.015005	validation_1-rmse:0.112054	validation_1-logloss:0.052781
[68]	validation_0-error:0.014276	validation_0-rmse:0.109372	validation_0-logloss:0.050234	validation_1-error:0.015008	validation_1-rmse:0.112003	validation_1-logloss:0.052739
[69]	validation_0-error:0.014273	validation_0-rmse:0.109348	validation_0-logloss:0.050232	validation_1-error:0.014997	validation_1-rmse:0.111985	validation_1-logloss:0.05275
[70]	validation_0-error:0.014281	validation_0-rmse:0.109352	validation_0-logloss:0.050192	validation_1-error:0.014989	validation_1-rmse:0.111998	validation_1-logloss:0.052718
[71]	validation_0-error:0.014262	validation_0-rmse:0.109308	validation_0-logloss:0.050151	validation_1-error:0.014989	validation_1-rmse:0.111969	validation_1-logloss:0.052705
[72]	validation_0-error:0.014268	validation_0-rmse:0.109286	validation_0-logloss:0.050134	validation_1-error:0.014999	validation_1-rmse:0.111952	validation_1-logloss:0.052695
[73]	validation_0-error:0.014281	validation_0-rmse:0.109323	validation_0-logloss:0.050178	validation_1-error:0.014997	validation_1-rmse:0.111986	validation_1-logloss:0.05274
[74]	validation_0-error:0.014281	validation_0-rmse:0.1093	validation_0-logloss:0.050159	validation_1-error:0.015008	validation_1-rmse:0.111969	validation_1-logloss:0.052722
[75]	validation_0-error:0.014265	validation_0-rmse:0.109243	validation_0-logloss:0.050108	validation_1-error:0.014983	validation_1-rmse:0.111932	validation_1-logloss:0.052697
[76]	validation_0-error:0.014262	validation_0-rmse:0.109207	validation_0-logloss:0.05004	validation_1-error:0.014983	validation_1-rmse:0.111908	validation_1-logloss:0.052646
[77]	validation_0-error:0.014254	validation_0-rmse:0.109161	validation_0-logloss:0.050004	validation_1-error:0.014967	validation_1-rmse:0.111869	validation_1-logloss:0.052621
[78]	validation_0-error:0.014241	validation_0-rmse:0.109135	validation_0-logloss:0.049993	validation_1-error:0.014967	validation_1-rmse:0.111843	validation_1-logloss:0.052617
[79]	validation_0-error:0.014241	validation_0-rmse:0.109129	validation_0-logloss:0.049993	validation_1-error:0.01497	validation_1-rmse:0.111834	validation_1-logloss:0.052615
[80]	validation_0-error:0.014249	validation_0-rmse:0.109132	validation_0-logloss:0.049994	validation_1-error:0.014967	validation_1-rmse:0.111843	validation_1-logloss:0.052629
[81]	validation_0-error:0.014233	validation_0-rmse:0.109064	validation_0-logloss:0.049944	validation_1-error:0.01497	validation_1-rmse:0.111795	validation_1-logloss:0.052596
[82]	validation_0-error:0.01423	validation_0-rmse:0.10903	validation_0-logloss:0.049923	validation_1-error:0.014959	validation_1-rmse:0.111781	validation_1-logloss:0.052592
[83]	validation_0-error:0.014225	validation_0-rmse:0.109006	validation_0-logloss:0.049897	validation_1-error:0.01497	validation_1-rmse:0.111759	validation_1-logloss:0.052579
[84]	validation_0-error:0.014233	validation_0-rmse:0.109016	validation_0-logloss:0.04991	validation_1-error:0.014973	validation_1-rmse:0.111768	validation_1-logloss:0.052592
[85]	validation_0-error:0.014235	validation_0-rmse:0.109033	validation_0-logloss:0.04991	validation_1-error:0.014978	validation_1-rmse:0.111787	validation_1-logloss:0.052606
[86]	validation_0-error:0.014235	validation_0-rmse:0.10903	validation_0-logloss:0.049907	validation_1-error:0.014978	validation_1-rmse:0.111784	validation_1-logloss:0.052603
[87]	validation_0-error:0.014235	validation_0-rmse:0.109029	validation_0-logloss:0.049906	validation_1-error:0.014978	validation_1-rmse:0.111784	validation_1-logloss:0.052602
[88]	validation_0-error:0.014225	validation_0-rmse:0.109018	validation_0-logloss:0.049901	validation_1-error:0.014981	validation_1-rmse:0.111775	validation_1-logloss:0.052608
[89]	validation_0-error:0.014219	validation_0-rmse:0.109001	validation_0-logloss:0.04988	validation_1-error:0.014981	validation_1-rmse:0.111767	validation_1-logloss:0.052597
[90]	validation_0-error:0.014222	validation_0-rmse:0.109003	validation_0-logloss:0.049882	validation_1-error:0.014981	validation_1-rmse:0.111768	validation_1-logloss:0.0526
[91]	validation_0-error:0.014211	validation_0-rmse:0.108994	validation_0-logloss:0.049884	validation_1-error:0.014981	validation_1-rmse:0.11177	validation_1-logloss:0.05261
[92]	validation_0-error:0.014227	validation_0-rmse:0.109003	validation_0-logloss:0.049886	validation_1-error:0.014978	validation_1-rmse:0.111781	validation_1-logloss:0.052624
[93]	validation_0-error:0.014225	validation_0-rmse:0.108998	validation_0-logloss:0.04988	validation_1-error:0.014978	validation_1-rmse:0.111776	validation_1-logloss:0.052618
[94]	validation_0-error:0.014219	validation_0-rmse:0.108988	validation_0-logloss:0.049874	validation_1-error:0.014981	validation_1-rmse:0.11178	validation_1-logloss:0.052624
[95]	validation_0-error:0.014219	validation_0-rmse:0.108991	validation_0-logloss:0.049877	validation_1-error:0.014981	validation_1-rmse:0.111782	validation_1-logloss:0.052627
[96]	validation_0-error:0.014219	validation_0-rmse:0.108991	validation_0-logloss:0.049877	validation_1-error:0.014981	validation_1-rmse:0.111782	validation_1-logloss:0.052627
[97]	validation_0-error:0.014203	validation_0-rmse:0.108952	validation_0-logloss:0.049837	validation_1-error:0.014965	validation_1-rmse:0.111742	validation_1-logloss:0.052587
[98]	validation_0-error:0.014203	validation_0-rmse:0.108947	validation_0-logloss:0.049832	validation_1-error:0.014962	validation_1-rmse:0.111738	validation_1-logloss:0.052582
[99]	validation_0-error:0.014198	validation_0-rmse:0.108927	validation_0-logloss:0.049794	validation_1-error:0.014949	validation_1-rmse:0.111723	validation_1-logloss:0.052554
Accuracy: 98.5051455170%
Finished with step: 0
[0]	validation_0-error:0.016606	validation_0-rmse:0.452722	validation_0-logloss:0.601213	validation_1-error:0.016909	validation_1-rmse:0.45275	validation_1-logloss:0.601261
[1]	validation_0-error:0.01564	validation_0-rmse:0.409918	validation_0-logloss:0.527279	validation_1-error:0.015911	validation_1-rmse:0.409957	validation_1-logloss:0.52734
[2]	validation_0-error:0.015284	validation_0-rmse:0.372729	validation_0-logloss:0.465284	validation_1-error:0.015549	validation_1-rmse:0.37278	validation_1-logloss:0.465361
[3]	validation_0-error:0.015249	validation_0-rmse:0.339724	validation_0-logloss:0.414245	validation_1-error:0.015538	validation_1-rmse:0.33979	validation_1-logloss:0.414339
[4]	validation_0-error:0.015182	validation_0-rmse:0.310459	validation_0-logloss:0.369293	validation_1-error:0.015442	validation_1-rmse:0.310529	validation_1-logloss:0.369384
[5]	validation_0-error:0.015286	validation_0-rmse:0.283805	validation_0-logloss:0.330768	validation_1-error:0.015525	validation_1-rmse:0.283895	validation_1-logloss:0.330877
[6]	validation_0-error:0.015281	validation_0-rmse:0.260414	validation_0-logloss:0.299391	validation_1-error:0.015477	validation_1-rmse:0.260521	validation_1-logloss:0.299509
[7]	validation_0-error:0.015305	validation_0-rmse:0.240253	validation_0-logloss:0.270228	validation_1-error:0.015504	validation_1-rmse:0.240371	validation_1-logloss:0.270347
[8]	validation_0-error:0.015321	validation_0-rmse:0.222126	validation_0-logloss:0.244475	validation_1-error:0.015552	validation_1-rmse:0.22226	validation_1-logloss:0.244603
[9]	validation_0-error:0.015278	validation_0-rmse:0.205998	validation_0-logloss:0.222644	validation_1-error:0.015463	validation_1-rmse:0.206141	validation_1-logloss:0.222775
[10]	validation_0-error:0.01527	validation_0-rmse:0.19194	validation_0-logloss:0.204197	validation_1-error:0.015442	validation_1-rmse:0.192094	validation_1-logloss:0.204334
[11]	validation_0-error:0.015209	validation_0-rmse:0.18	validation_0-logloss:0.186702	validation_1-error:0.015378	validation_1-rmse:0.180172	validation_1-logloss:0.186846
[12]	validation_0-error:0.015193	validation_0-rmse:0.169548	validation_0-logloss:0.171876	validation_1-error:0.015359	validation_1-rmse:0.169743	validation_1-logloss:0.172036
[13]	validation_0-error:0.015217	validation_0-rmse:0.160465	validation_0-logloss:0.158232	validation_1-error:0.015337	validation_1-rmse:0.16071	validation_1-logloss:0.158421
[14]	validation_0-error:0.015193	validation_0-rmse:0.152789	validation_0-logloss:0.146685	validation_1-error:0.015348	validation_1-rmse:0.153058	validation_1-logloss:0.146893
[15]	validation_0-error:0.015168	validation_0-rmse:0.145861	validation_0-logloss:0.136176	validation_1-error:0.015327	validation_1-rmse:0.14616	validation_1-logloss:0.136401
[16]	validation_0-error:0.015134	validation_0-rmse:0.140211	validation_0-logloss:0.126626	validation_1-error:0.015329	validation_1-rmse:0.140525	validation_1-logloss:0.126857
[17]	validation_0-error:0.015104	validation_0-rmse:0.135699	validation_0-logloss:0.11858	validation_1-error:0.015308	validation_1-rmse:0.136054	validation_1-logloss:0.118831
[18]	validation_0-error:0.015083	validation_0-rmse:0.131355	validation_0-logloss:0.111242	validation_1-error:0.015268	validation_1-rmse:0.131723	validation_1-logloss:0.111509
[19]	validation_0-error:0.015067	validation_0-rmse:0.127956	validation_0-logloss:0.104614	validation_1-error:0.015235	validation_1-rmse:0.128322	validation_1-logloss:0.104872
[20]	validation_0-error:0.015005	validation_0-rmse:0.125112	validation_0-logloss:0.09879	validation_1-error:0.015193	validation_1-rmse:0.125507	validation_1-logloss:0.099072
[21]	validation_0-error:0.014986	validation_0-rmse:0.122741	validation_0-logloss:0.093595	validation_1-error:0.015209	validation_1-rmse:0.123185	validation_1-logloss:0.093913
[22]	validation_0-error:0.014975	validation_0-rmse:0.120786	validation_0-logloss:0.088825	validation_1-error:0.015171	validation_1-rmse:0.121234	validation_1-logloss:0.089145
[23]	validation_0-error:0.014981	validation_0-rmse:0.119107	validation_0-logloss:0.084956	validation_1-error:0.015166	validation_1-rmse:0.119567	validation_1-logloss:0.085286
[24]	validation_0-error:0.014946	validation_0-rmse:0.11787	validation_0-logloss:0.081049	validation_1-error:0.015144	validation_1-rmse:0.118345	validation_1-logloss:0.08139
[25]	validation_0-error:0.014935	validation_0-rmse:0.11694	validation_0-logloss:0.077783	validation_1-error:0.015134	validation_1-rmse:0.117422	validation_1-logloss:0.078123
[26]	validation_0-error:0.014938	validation_0-rmse:0.11591	validation_0-logloss:0.075171	validation_1-error:0.015107	validation_1-rmse:0.116399	validation_1-logloss:0.075531
[27]	validation_0-error:0.014911	validation_0-rmse:0.115199	validation_0-logloss:0.072419	validation_1-error:0.015072	validation_1-rmse:0.115698	validation_1-logloss:0.072788
[28]	validation_0-error:0.014857	validation_0-rmse:0.11445	validation_0-logloss:0.069887	validation_1-error:0.015067	validation_1-rmse:0.114992	validation_1-logloss:0.070285
[29]	validation_0-error:0.014871	validation_0-rmse:0.113968	validation_0-logloss:0.06785	validation_1-error:0.015083	validation_1-rmse:0.114524	validation_1-logloss:0.068265
[30]	validation_0-error:0.014865	validation_0-rmse:0.113463	validation_0-logloss:0.066159	validation_1-error:0.015077	validation_1-rmse:0.114027	validation_1-logloss:0.066588
