[59]	validation_0-error:0.014651	validation_0-rmse:0.110577	validation_0-logloss:0.051432	validation_1-error:0.014882	validation_1-rmse:0.111603	validation_1-logloss:0.052566
[60]	validation_0-error:0.01464	validation_0-rmse:0.110563	validation_0-logloss:0.051405	validation_1-error:0.014876	validation_1-rmse:0.111594	validation_1-logloss:0.052544
[61]	validation_0-error:0.014635	validation_0-rmse:0.110493	validation_0-logloss:0.051335	validation_1-error:0.014847	validation_1-rmse:0.111548	validation_1-logloss:0.052518
[62]	validation_0-error:0.014621	validation_0-rmse:0.110476	validation_0-logloss:0.05131	validation_1-error:0.014847	validation_1-rmse:0.111535	validation_1-logloss:0.05251
[63]	validation_0-error:0.014616	validation_0-rmse:0.110475	validation_0-logloss:0.051216	validation_1-error:0.014836	validation_1-rmse:0.111534	validation_1-logloss:0.052434
[64]	validation_0-error:0.0146	validation_0-rmse:0.110464	validation_0-logloss:0.051196	validation_1-error:0.014836	validation_1-rmse:0.111525	validation_1-logloss:0.052421
[65]	validation_0-error:0.014581	validation_0-rmse:0.110435	validation_0-logloss:0.05115	validation_1-error:0.014817	validation_1-rmse:0.111486	validation_1-logloss:0.052388
[66]	validation_0-error:0.014603	validation_0-rmse:0.110422	validation_0-logloss:0.051129	validation_1-error:0.014809	validation_1-rmse:0.111479	validation_1-logloss:0.052376
[67]	validation_0-error:0.014595	validation_0-rmse:0.110393	validation_0-logloss:0.051097	validation_1-error:0.014796	validation_1-rmse:0.111459	validation_1-logloss:0.052357
[68]	validation_0-error:0.014576	validation_0-rmse:0.110348	validation_0-logloss:0.051061	validation_1-error:0.014788	validation_1-rmse:0.111422	validation_1-logloss:0.052336
[69]	validation_0-error:0.014597	validation_0-rmse:0.110347	validation_0-logloss:0.051021	validation_1-error:0.01479	validation_1-rmse:0.111429	validation_1-logloss:0.052298
[70]	validation_0-error:0.014587	validation_0-rmse:0.11034	validation_0-logloss:0.051023	validation_1-error:0.01478	validation_1-rmse:0.111424	validation_1-logloss:0.052305
[71]	validation_0-error:0.014592	validation_0-rmse:0.11032	validation_0-logloss:0.051012	validation_1-error:0.014774	validation_1-rmse:0.111405	validation_1-logloss:0.0523
[72]	validation_0-error:0.014565	validation_0-rmse:0.110282	validation_0-logloss:0.050982	validation_1-error:0.014755	validation_1-rmse:0.111366	validation_1-logloss:0.052285
[73]	validation_0-error:0.014571	validation_0-rmse:0.1103	validation_0-logloss:0.05101	validation_1-error:0.014761	validation_1-rmse:0.111383	validation_1-logloss:0.052316
